starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 13:18:33 2017	1489432713	0	167	167	162
Mon Mar 13 13:18:34 2017	1489432714	0	168	168	156
Mon Mar 13 13:18:35 2017	1489432715	0	168	168	166
Mon Mar 13 13:18:36 2017	1489432716	0	168	168	153
Mon Mar 13 13:18:34 2017	1489432714	0	168	168	167
Mon Mar 13 13:18:34 2017	1489432714	0	168	168	161
Mon Mar 13 13:18:35 2017	1489432715	0	168	168	164
Mon Mar 13 13:18:35 2017	1489432715	0	168	168	166
Mon Mar 13 13:18:35 2017	1489432715	0	168	168	162
Mon Mar 13 13:18:33 2017	1489432713	0	168	168	167
Mon Mar 13 13:18:36 2017	1489432716	0	168	168	165
Mon Mar 13 13:18:36 2017	1489432716	0	169	169	160
Mon Mar 13 13:18:34 2017	1489432714	0	169	169	168
Mon Mar 13 13:18:34 2017	1489432714	0	169	169	166
Mon Mar 13 13:18:36 2017	1489432716	0	170	170	166
Mon Mar 13 13:18:35 2017	1489432715	0	170	170	161
Mon Mar 13 13:18:35 2017	1489432715	0	170	170	164
Mon Mar 13 13:18:34 2017	1489432714	0	170	170	157
Mon Mar 13 13:18:34 2017	1489432714	0	170	170	162
Mon Mar 13 13:18:35 2017	1489432715	0	170	170	159
Mon Mar 13 13:18:36 2017	1489432716	0	170	170	156
Mon Mar 13 13:18:36 2017	1489432716	0	171	171	167
Mon Mar 13 13:18:35 2017	1489432715	0	171	171	157
Mon Mar 13 13:18:34 2017	1489432714	0	171	171	155
Mon Mar 13 13:18:35 2017	1489432715	0	172	172	162
Mon Mar 13 13:18:35 2017	1489432715	0	172	172	166
Mon Mar 13 13:18:36 2017	1489432716	0	172	172	169
Mon Mar 13 13:18:35 2017	1489432715	0	173	173	154
Mon Mar 13 13:18:34 2017	1489432714	0	173	173	169
Mon Mar 13 13:18:35 2017	1489432715	0	173	173	160
Mon Mar 13 13:18:34 2017	1489432714	0	173	173	171
Mon Mar 13 13:18:35 2017	1489432715	0	173	173	167
Mon Mar 13 13:18:34 2017	1489432714	0	173	173	171
Mon Mar 13 13:18:35 2017	1489432715	0	173	173	165
Mon Mar 13 13:18:35 2017	1489432715	0	173	173	173
Mon Mar 13 13:18:36 2017	1489432716	0	173	173	173
Mon Mar 13 13:18:34 2017	1489432714	0	173	174	166
Mon Mar 13 13:18:35 2017	1489432715	0	174	174	167
Mon Mar 13 13:18:34 2017	1489432714	0	174	174	170
Mon Mar 13 13:18:35 2017	1489432715	0	174	174	169
Mon Mar 13 13:18:34 2017	1489432714	0	175	175	170
Mon Mar 13 13:18:36 2017	1489432716	0	176	176	170
Mon Mar 13 13:18:35 2017	1489432715	0	176	176	171
Mon Mar 13 13:18:34 2017	1489432714	0	176	176	173
Mon Mar 13 13:18:35 2017	1489432715	0	177	177	172
Mon Mar 13 13:18:35 2017	1489432715	0	177	177	172
Mon Mar 13 13:18:34 2017	1489432714	0	177	177	176
Mon Mar 13 13:18:34 2017	1489432714	0	177	177	170
Mon Mar 13 13:18:35 2017	1489432715	0	177	177	171
Mon Mar 13 13:18:33 2017	1489432713	0	177	177	172
Mon Mar 13 13:18:34 2017	1489432714	0	177	177	170
Mon Mar 13 13:18:34 2017	1489432714	0	177	177	176
Mon Mar 13 13:18:34 2017	1489432714	0	178	178	166
Mon Mar 13 13:18:35 2017	1489432715	0	178	178	171
Mon Mar 13 13:18:35 2017	1489432715	0	178	178	171
Mon Mar 13 13:18:35 2017	1489432715	0	179	179	169
Mon Mar 13 13:18:35 2017	1489432715	0	179	179	173
Mon Mar 13 13:18:34 2017	1489432714	0	179	179	172
Mon Mar 13 13:18:34 2017	1489432714	0	179	179	172
Mon Mar 13 13:18:35 2017	1489432715	0	179	179	165
Mon Mar 13 13:18:35 2017	1489432715	0	179	179	169
Mon Mar 13 13:18:34 2017	1489432714	0	179	179	166
Mon Mar 13 13:18:34 2017	1489432714	0	179	179	168
Mon Mar 13 13:18:36 2017	1489432716	0	180	180	172
Mon Mar 13 13:18:35 2017	1489432715	0	180	180	169
Mon Mar 13 13:18:34 2017	1489432714	0	180	180	165
Mon Mar 13 13:18:34 2017	1489432714	0	181	181	175
Mon Mar 13 13:18:34 2017	1489432714	0	181	181	173
Mon Mar 13 13:18:35 2017	1489432715	0	182	182	168
Mon Mar 13 13:18:34 2017	1489432714	0	182	182	174
Mon Mar 13 13:18:35 2017	1489432715	0	182	182	181
Mon Mar 13 13:18:33 2017	1489432713	0	182	182	178
Mon Mar 13 13:18:33 2017	1489432713	0	182	182	181
Mon Mar 13 13:18:34 2017	1489432714	0	182	182	180
Mon Mar 13 13:18:34 2017	1489432714	0	182	182	176
Mon Mar 13 13:18:34 2017	1489432714	0	183	183	180
Mon Mar 13 13:18:34 2017	1489432714	0	183	183	177
Mon Mar 13 13:18:34 2017	1489432714	0	183	183	175
Mon Mar 13 13:18:35 2017	1489432715	0	183	183	183
Mon Mar 13 13:18:33 2017	1489432713	0	183	183	168
Mon Mar 13 13:18:35 2017	1489432715	0	183	183	180
Mon Mar 13 13:18:35 2017	1489432715	0	183	184	181
Mon Mar 13 13:18:36 2017	1489432716	0	184	184	170
Mon Mar 13 13:18:34 2017	1489432714	0	184	184	177
Mon Mar 13 13:18:35 2017	1489432715	0	184	184	179
Mon Mar 13 13:18:34 2017	1489432714	0	184	184	177
Mon Mar 13 13:18:35 2017	1489432715	0	184	184	168
Mon Mar 13 13:18:34 2017	1489432714	0	184	184	182
Mon Mar 13 13:18:34 2017	1489432714	0	185	185	179
Mon Mar 13 13:18:34 2017	1489432714	0	185	185	177
Mon Mar 13 13:18:34 2017	1489432714	0	186	186	179
Mon Mar 13 13:18:34 2017	1489432714	0	186	186	178
